,predict
2026-03-01,427.48283486713734
2026-04-01,429.00441352259236
2026-05-01,429.6004966137978
2026-06-01,428.8303977181702
2026-07-01,427.1576590887212
2026-08-01,425.04703929889075
2026-09-01,423.64801315612226
2026-10-01,423.9182230786027
2026-11-01,425.4531831005169
2026-12-01,426.87451876798116
2027-01-01,428.0720887493528
2027-02-01,428.8156864889786
2027-03-01,429.7176739292497
2027-04-01,431.23871181587367
2027-05-01,431.83458305923597
2027-06-01,431.064757856643
2027-07-01,429.3926137182575
2027-08-01,427.28274404239085
2027-09-01,425.8842151133083
2027-10-01,426.1543290032219
2027-11-01,427.68874350056944
2027-12-01,429.1095740255459
2028-01-01,430.3067183907218
2028-02-01,431.05005185582
2028-03-01,431.9517187298871
2028-04-01,433.47221603986924
2028-05-01,434.067875510679
2028-06-01,433.29832390385013
2028-07-01,431.62677404524624
2028-08-01,429.51765421675293
2028-09-01,428.1196223246467
2028-10-01,428.38964021612344
2028-11-01,429.92350938278366
2028-12-01,431.34383494479994
2029-01-01,432.54055384504403
2029-02-01,433.2836231295377
2029-03-01,434.18496955133
2029-04-01,435.7049264767912
2029-05-01,436.30037425031236
2029-06-01,435.5310961420117
2029-07-01,433.8601403519824
2029-08-01,431.75177010436687
2029-09-01,430.3542350725901
2029-10-01,430.6241569997478
2029-11-01,432.15748102953114
2029-12-01,433.57730180805095
2030-01-01,434.77359539457336
2030-02-01,435.51640059235234
2030-03-01,436.4174266757585
2030-04-01,437.93684340875126
2030-05-01,438.53207956022106
2030-06-01,437.76307485324725
2030-07-01,436.0927129206607
2030-08-01,433.98509198752197
2030-09-01,432.5880536394905
2030-10-01,432.8578796364349
2030-11-01,434.39065872308294
2030-12-01,435.8099748975063
2031-01-01,437.00584332146354
2031-02-01,437.74838452638414
2031-03-01,438.6490903852524
2031-04-01,440.16796711776107
2031-05-01,440.7629917223899
2031-06-01,439.9942603195762
2031-07-01,438.3244920333755
2031-08-01,436.2176201484073
2031-09-01,434.82107830759986
2031-10-01,435.0908084084245
2031-11-01,436.6230427456099
2031-12-01,438.041854495273
2032-01-01,439.23729790776775
2032-02-01,439.97957521365305
2032-03-01,440.87996096179114
2032-04-01,442.39829788573184
2032-05-01,442.9931110187035
2032-06-01,442.22465282291756
2032-07-01,440.5554779721209
2032-08-01,438.4493548691117
2032-09-01,437.05330935906966
2032-10-01,437.32294359785607
2032-11-01,438.85463337918276
2032-12-01,440.2729408833581
2033-01-01,441.46795943543935
2033-02-01,442.209972936079
2033-03-01,443.11003868725425
2033-04-01,444.6278359944748
2033-05-01,445.22243773094624
2033-06-01,444.45425264509043
2033-07-01,442.785671018791
2033-08-01,440.6802964316237
2033-09-01,439.2847470759512
2033-10-01,439.55428548676866
2033-11-01,441.0854309057717
2033-12-01,442.5032343436681
2034-01-01,443.6978281863312
2034-02-01,444.43957797548154
2034-03-01,445.33932384342086
2034-04-01,446.85658172570106
2034-05-01,447.45097214080255
2034-06-01,446.6830600678136
2034-07-01,445.0150714551794
2034-08-01,442.9104451178316
2034-09-01,441.51539174019547
2034-10-01,441.78483435710126
2034-11-01,443.3154356072469
2034-12-01,444.73273515800935
2035-01-01,445.92690444219596
2035-02-01,446.66839061357996
2035-03-01,447.5678167119697
2035-04-01,449.08453536102104
2035-05-01,449.67871452985617
2035-06-01,448.91107537270534
2035-07-01,447.2436795629795
2035-08-01,445.13980120952334
2035-09-01,443.745243633653
2035-10-01,444.0145904906922
2035-11-01,445.54464776537804
2035-12-01,446.961443608088
2036-01-01,448.15518848468616
2036-02-01,448.8964111319936
2036-03-01,449.7955175744799
2036-04-01,451.3116971819458
2036-05-01,451.9056651795915
2036-06-01,451.13829884128455
2036-07-01,449.47149562378496
2036-08-01,447.3683649883871
2036-09-01,445.9743030380747
2036-10-01,446.24355416928046
2036-11-01,447.7730676618352
2036-12-01,449.18935997551046
2037-01-01,450.3826805953545
2037-02-01,451.1236398122418
2037-03-01,452.0224267124303
2037-04-01,453.538067469886
2037-05-01,454.13182437139244
2037-06-01,453.36473075496957
2037-07-01,451.69851991908905
2037-08-01,449.5961367360106
2037-09-01,448.2025702351109
2037-10-01,448.4717256745041
2037-11-01,450.00069557818796
2037-12-01,451.4164845417826
2038-01-01,452.6093810556534
2038-02-01,453.3500769357437
2038-03-01,454.2485444071997
2038-04-01,455.7636465061525
2038-05-01,456.3571923865432
2038-06-01,455.5903713950791
2038-07-01,453.92475273028526
2038-08-01,451.82311673388176
2038-09-01,450.4300455063121
2038-10-01,450.69910528790166
2038-11-01,452.227531795906
2038-12-01,453.6428175883106
2039-01-01,454.8352901469353
2039-02-01,455.5757227838184
2039-03-01,456.4738709400668
2039-04-01,457.98843457195585
2039-05-01,458.5817695062277
2039-06-01,457.8152210428315
2039-07-01,456.1501943386669
2039-08-01,454.0493052633883
2039-09-01,452.65672913312864
2039-10-01,452.9256932909112
2039-11-01,454.45357659635874
2039-12-01,455.8683593964003
2040-01-01,457.06040815045253
2040-02-01,457.8005776376851
2040-03-01,458.69840659221046
2040-04-01,460.21243194840685
2040-05-01,460.8055560115301
2040-06-01,460.0392799793454
2040-07-01,458.37484502542725
2040-08-01,456.2747026058179
2040-09-01,454.8826213969107
2040-10-01,455.1514899648711
2040-11-01,456.67883026081586
2040-12-01,458.09311024725775
2041-01-01,459.2847353473576
2041-02-01,460.0246417784629
2041-03-01,460.9221516447095
2041-04-01,462.4356389165163
2041-05-01,463.0285521834345
2041-06-01,462.2625484856393
2041-07-01,460.59870507165965
2041-08-01,458.4993090423582
2041-09-01,457.1077225789085
2041-10-01,457.37649559101925
2041-11-01,458.90329307044686
2041-12-01,460.317070421989
2042-01-01,461.508272018703
2042-02-01,462.2479154871712
2042-03-01,463.145106378543
2042-04-01,464.65805575719537
2042-05-01,465.25075830282543
2042-06-01,464.48502684263207
2042-07-01,462.8217747583578
2042-08-01,460.7231248540973
2042-09-01,459.33203296027267
2042-10-01,459.6007104504943
2042-11-01,461.12696530632167
2042-12-01,462.5402402016004
2043-01-01,463.73101844544163
